Adrianna,F,2000,1446
Christine,F,2000,1442
Kristina,F,2000,1433
Nina,F,2000,1428
Natalia,F,2000,1424
Asia,F,2000,1423
Valeria,F,2000,1423
Aubrey,F,2000,1410
Lauryn,F,2000,1408
Kate,F,2000,1397
Patricia,F,2000,1393
Jazmin,F,2000,1391
Rachael,F,2000,1389
Katelynn,F,2000,1388
Cierra,F,2000,1383
Alison,F,2000,1381
Nancy,F,2000,1378
Macy,F,2000,1375
Elena,F,2000,1366
Kyla,F,2000,1363
Katrina,F,2000,1357
Jazmine,F,2000,1353
Joanna,F,2000,1349
Tara,F,2000,1338
Gianna,F,2000,1332
Juliana,F,2000,1319
Fatima,F,2000,1316
Sadie,F,2000,1316
Allyson,F,2000,1312
Gracie,F,2000,1312
Guadalupe,F,2000,1308
Genesis,F,2000,1303
Yesenia,F,2000,1294
Julianna,F,2000,1287
Skyler,F,2000,1284
Tatiana,F,2000,1284
Alexus,F,2000,1281
Alana,F,2000,1279
Elise,F,2000,1278
Kirsten,F,2000,1273
Nadia,F,2000,1271
Sandra,F,2000,1268
Ruby,F,2000,1266
Dominique,F,2000,1264
Haylee,F,2000,1262
Jayla,F,2000,1259
Tori,F,2000,1247
Cindy,F,2000,1244
Ella,F,2000,1232
Sidney,F,2000,1221
Tessa,F,2000,1210
Carolina,F,2000,1204
Jaqueline,F,2000,1200
Camille,F,2000,1198
Carmen,F,2000,1195
Whitney,F,2000,1194
Vivian,F,2000,1177
Priscilla,F,2000,1170
Bridget,F,2000,1167
Celeste,F,2000,1167
Kiana,F,2000,1166
Makenna,F,2000,1163
Miriam,F,2000,1162
Alissa,F,2000,1156
Madeleine,F,2000,1154
Natasha,F,2000,1144
Ciara,F,2000,1139
Cecilia,F,2000,1137
Kassandra,F,2000,1136
Mercedes,F,2000,1134
Reagan,F,2000,1131
Aliyah,F,2000,1116
Josephine,F,2000,1116
Charlotte,F,2000,1105
Rylee,F,2000,1102
Shania,F,2000,1098
Kira,F,2000,1092
Meredith,F,2000,1092
Eva,F,2000,1088
Lisa,F,2000,1088
Dakota,F,2000,1086
Hallie,F,2000,1083
Anne,F,2000,1081
Rose,F,2000,1080
Liliana,F,2000,1065
Kristin,F,2000,1056
Marisa,F,2000,1052
Deanna,F,2000,1051
Imani,F,2000,1051
Kailey,F,2000,1050
Annie,F,2000,1042
Nia,F,2000,1033
Carolyn,F,2000,1031
Anastasia,F,2000,1027
Brenna,F,2000,1023
Dana,F,2000,1016
Shayla,F,2000,1009
Ashlee,F,2000,1008
Kassidy,F,2000,1007
Rosa,F,2000,1005
Alaina,F,2000,1004
Wendy,F,2000,1004
Logan,F,2000,999
Tabitha,F,2000,992
Paola,F,2000,991
Callie,F,2000,990
Addison,F,2000,983
Esther,F,2000,982
Lucy,F,2000,980
Gillian,F,2000,976
Clarissa,F,2000,975
Destinee,F,2000,973
Josie,F,2000,970
Denise,F,2000,963
Katlyn,F,2000,962
Mariana,F,2000,945
Bryanna,F,2000,943
Emilee,F,2000,931
Georgia,F,2000,929
Kamryn,F,2000,922
Deja,F,2000,921
Ashleigh,F,2000,916
Cristina,F,2000,913
Ruth,F,2000,909
Baylee,F,2000,905
Heaven,F,2000,903
Raquel,F,2000,900
Monique,F,2000,899
Teresa,F,2000,899
Helen,F,2000,891
Krystal,F,2000,890
Tiana,F,2000,887
Cassie,F,2000,886
Kayleigh,F,2000,885
Marina,F,2000,884
Heidi,F,2000,880
Ivy,F,2000,880
Clara,F,2000,879
Ashton,F,2000,868
Meagan,F,2000,858
Gina,F,2000,855
Linda,F,2000,851
Gloria,F,2000,842
Jacquelyn,F,2000,831
Ellie,F,2000,829
Jenny,F,2000,828
Renee,F,2000,826
Daniella,F,2000,818
Lizbeth,F,2000,817
Anahi,F,2000,814
Virginia,F,2000,811
Gisselle,F,2000,810
Kaitlynn,F,2000,801
Julissa,F,2000,798
Cheyanne,F,2000,795
Lacey,F,2000,793
Haleigh,F,2000,789
Martha,F,2000,787
Marie,F,2000,785
Eleanor,F,2000,771
Kierra,F,2000,764
Tiara,F,2000,764
Talia,F,2000,762
Eliza,F,2000,759
Kaylie,F,2000,759
Mikaela,F,2000,759
Harley,F,2000,756
Jaden,F,2000,752
Hailee,F,2000,751
Madalyn,F,2000,751
Kasey,F,2000,750
Ashlynn,F,2000,749
Brandi,F,2000,744
Lesly,F,2000,742
Elisabeth,F,2000,735
Allie,F,2000,734
Viviana,F,2000,733
Cara,F,2000,732
Marisol,F,2000,727
India,F,2000,723
Litzy,F,2000,722
Tatyana,F,2000,721
Melody,F,2000,720
Brandy,F,2000,719
Jessie,F,2000,719
Alisha,F,2000,715
Hunter,F,2000,714
Noelle,F,2000,710
Carla,F,2000,706
Francesca,F,2000,701
Tia,F,2000,701
Layla,F,2000,698
Krista,F,2000,695
Susan,F,2000,693
Zoey,F,2000,691
Carley,F,2000,687
Janet,F,2000,686
Carissa,F,2000,685
Iris,F,2000,685
Kaleigh,F,2000,683
Tyler,F,2000,683
Tamara,F,2000,681
Theresa,F,2000,679
Yasmine,F,2000,676
Tatum,F,2000,675
Sharon,F,2000,671
Alice,F,2000,669
Yasmin,F,2000,668
Tamia,F,2000,664
Abbey,F,2000,660
Alayna,F,2000,660
Kali,F,2000,660
Lilly,F,2000,659
Bailee,F,2000,658
Lesley,F,2000,658
Mckayla,F,2000,658
Ayanna,F,2000,656
Serenity,F,2000,654
Karissa,F,2000,649
Maddison,F,2000,648
Precious,F,2000,648
Jane,F,2000,647
Jayda,F,2000,645
Lexi,F,2000,642
Phoebe,F,2000,642
Kelsie,F,2000,641
Halle,F,2000,639
Kiersten,F,2000,638
Kiera,F,2000,636
Tyra,F,2000,635
Annika,F,2000,634
Felicity,F,2000,634
Taryn,F,2000,633
Ellen,F,2000,632
Kaylin,F,2000,632
Kiley,F,2000,628
Jaclyn,F,2000,614
